,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
579,580,1,3,374,1,32.0,0,0,524,7.925,134,2
580,581,1,2,150,0,25.0,1,1,114,30.0,134,2
581,582,1,1,646,0,39.0,1,1,68,110.8833,67,0
582,583,0,2,209,1,54.0,0,0,185,26.0,134,2
583,584,0,1,571,1,36.0,0,0,57,40.125,0,0
585,586,1,1,640,0,18.0,0,2,1,79.65,124,2
586,587,0,2,354,1,47.0,0,0,110,15.0,134,2
587,588,1,1,244,1,60.0,1,1,63,79.2,25,0
588,589,0,3,257,1,22.0,0,0,65,8.05,134,2
590,591,0,3,564,1,35.0,0,0,519,7.125,134,2
591,592,1,1,626,0,52.0,1,0,364,78.2667,87,0
592,593,0,3,222,1,47.0,0,0,415,7.25,134,2
594,595,0,2,145,1,37.0,1,0,496,26.0,134,2
595,596,0,3,665,1,36.0,1,1,249,24.15,134,2
597,598,0,3,366,1,49.0,0,0,452,0.0,134,2
599,600,1,1,214,1,49.0,1,0,460,56.9292,2,0
600,601,1,2,351,0,24.0,2,1,119,27.0,134,2
603,604,0,3,652,1,44.0,0,0,352,8.05,134,2
604,605,1,1,337,1,35.0,0,0,9,26.55,134,0
605,606,0,3,415,1,36.0,1,0,322,15.55,134,2
606,607,0,3,379,1,30.0,0,0,313,7.8958,134,2
607,608,1,1,187,1,27.0,0,0,41,30.5,134,2
608,609,1,2,397,0,22.0,1,2,502,41.5792,134,0
609,610,1,1,593,0,40.0,0,0,464,153.4625,51,2
610,611,0,3,30,0,39.0,1,5,274,31.275,134,2
614,615,0,3,104,1,35.0,0,0,353,8.05,134,2
615,616,1,2,320,0,24.0,1,2,88,65.0,134,2
616,617,0,3,185,1,34.0,1,1,272,14.4,134,2
617,618,0,3,420,0,26.0,1,0,419,16.1,134,2
618,619,1,2,76,0,4.0,2,1,95,39.0,131,2
619,620,0,2,253,1,26.0,0,0,212,10.5,134,2
620,621,0,3,702,1,27.0,1,0,157,14.4542,134,0
621,622,1,1,385,1,42.0,1,0,47,52.5542,86,2
622,623,1,3,472,1,20.0,1,1,156,15.7417,134,0
623,624,0,3,296,1,21.0,0,0,326,7.8542,134,2
624,625,0,3,99,1,21.0,0,0,386,16.1,134,2
625,626,0,1,636,1,61.0,0,0,365,32.3208,99,2
626,627,0,2,388,1,57.0,0,0,86,12.35,134,1
627,628,1,1,422,0,21.0,0,0,60,77.9583,103,2
628,629,0,3,95,1,26.0,0,0,300,7.8958,134,2
630,631,1,1,66,1,80.0,0,0,177,30.0,3,2
631,632,0,3,426,1,51.0,0,0,286,7.0542,134,2
632,633,1,1,621,1,32.0,0,0,59,30.5,29,0
634,635,0,3,607,0,9.0,3,2,278,27.9,134,2
635,636,1,2,194,0,28.0,0,0,111,13.0,134,2
636,637,0,3,404,1,32.0,0,0,527,7.925,134,2
637,638,0,2,162,1,31.0,1,1,437,26.25,134,2
638,639,0,3,519,0,41.0,0,5,208,39.6875,134,2
640,641,0,3,356,1,20.0,0,0,335,7.8542,134,2
641,642,1,1,580,0,24.0,0,0,458,69.3,20,0
642,643,0,3,608,0,2.0,3,2,278,27.9,134,2
644,645,1,3,53,0,0.75,2,1,160,19.2583,134,0
645,646,1,1,300,1,48.0,1,0,463,76.7292,91,0
646,647,0,3,169,1,19.0,0,0,302,7.8958,134,2
647,648,1,1,598,1,56.0,0,0,58,35.5,5,0
649,650,1,3,623,0,23.0,0,0,447,7.55,134,2
651,652,1,2,203,0,18.0,0,1,98,23.0,134,2
652,653,0,3,376,1,21.0,0,0,400,8.4333,134,2
654,655,0,3,316,0,18.0,0,0,359,6.75,134,1
655,656,0,2,323,1,24.0,2,0,491,73.5,134,2
657,658,0,3,98,0,32.0,1,1,356,15.5,134,1
658,659,0,2,217,1,23.0,0,0,200,13.0,134,2
659,660,0,1,481,1,58.0,0,2,342,113.275,97,0
660,661,1,1,242,1,50.0,2,0,478,133.65,134,2
661,662,0,3,57,1,40.0,0,0,148,7.225,134,0
662,663,0,1,160,1,47.0,0,0,387,25.5875,121,2
663,664,0,3,156,1,36.0,0,0,296,7.4958,134,2
664,665,1,3,416,1,20.0,1,0,523,7.925,134,2
665,666,0,2,324,1,32.0,2,0,491,73.5,134,2
666,667,0,2,113,1,25.0,0,0,104,13.0,134,2
668,669,0,3,168,1,43.0,0,0,412,8.05,134,2
670,671,1,2,108,0,40.0,1,1,199,39.0,134,2
671,672,0,1,190,1,31.0,1,0,448,52.0,34,2
672,673,0,2,458,1,70.0,0,0,431,10.5,134,2
673,674,1,2,697,1,31.0,0,0,122,13.0,134,2
675,676,0,3,216,1,18.0,0,0,323,7.775,134,2
676,677,0,3,586,1,24.5,0,0,237,8.05,134,2
677,678,1,3,659,0,18.0,0,0,384,9.8417,134,2
678,679,0,3,273,0,43.0,1,6,446,46.9,134,2
679,680,1,1,128,1,36.0,0,1,480,512.3292,30,0
681,682,1,1,311,1,27.0,0,0,463,76.7292,98,0
682,683,0,3,502,1,20.0,0,0,388,9.225,134,2
683,684,0,3,272,1,14.0,5,2,446,46.9,134,2
684,685,0,2,106,1,60.0,1,1,199,39.0,134,2
685,686,0,2,396,1,25.0,1,2,502,41.5792,134,0
686,687,0,3,518,1,14.0,4,1,208,39.6875,134,2
687,688,0,3,182,1,19.0,0,0,301,10.1708,134,2
688,689,0,3,229,1,18.0,0,0,329,7.7958,134,2
689,690,1,1,429,0,15.0,0,1,118,211.3375,28,2
690,691,1,1,199,1,31.0,1,0,73,57.0,15,2
691,692,1,3,381,0,4.0,0,1,319,13.4167,134,0
693,694,0,3,579,1,25.0,0,0,164,7.225,134,0
694,695,0,1,683,1,60.0,0,0,39,26.55,134,2
695,696,0,2,144,1,52.0,0,0,132,13.5,134,2
696,697,0,3,382,1,44.0,0,0,348,8.05,134,2
698,699,0,1,644,1,49.0,1,1,68,110.8833,67,0
699,700,0,3,343,1,42.0,0,0,287,7.65,127,2
700,701,1,1,45,0,18.0,1,0,482,227.525,65,0
701,702,1,1,595,1,35.0,0,0,456,26.2875,109,2
702,703,0,3,63,0,18.0,0,1,171,14.4542,134,0
703,704,0,3,250,1,25.0,0,0,362,7.7417,134,1
704,705,0,3,295,1,26.0,1,0,324,7.8542,134,2
705,706,0,2,465,1,39.0,0,0,146,26.0,134,2
706,707,1,2,383,0,45.0,0,0,90,13.5,134,2
707,708,1,1,119,1,42.0,0,0,457,26.2875,109,2
708,709,1,1,153,0,22.0,0,0,29,151.55,134,2
710,711,1,1,440,0,24.0,0,0,459,49.5042,76,0
712,713,1,1,643,1,48.0,1,0,81,52.0,52,2
713,714,0,3,398,1,29.0,0,0,394,9.4833,134,2
714,715,0,2,278,1,52.0,0,0,140,13.0,134,2
715,716,0,3,618,1,19.0,0,0,289,7.65,128,2
716,717,1,1,224,0,38.0,0,0,482,227.525,59,0
717,718,1,2,657,0,27.0,0,0,236,10.5,105,2
719,720,0,3,367,1,33.0,0,0,260,7.775,134,2
720,721,1,2,299,0,6.0,0,1,131,33.0,134,2
721,722,0,3,358,1,17.0,1,0,334,7.0542,134,2
722,723,0,2,259,1,34.0,0,0,55,13.0,134,2
723,724,0,2,331,1,50.0,0,0,137,13.0,134,2
724,725,1,1,142,1,27.0,1,0,42,53.1,126,2
725,726,0,3,504,1,20.0,0,0,222,8.6625,134,2
726,727,1,2,550,0,30.0,3,0,211,21.0,134,2
728,729,0,2,109,1,25.0,1,0,108,26.0,134,2
729,730,0,3,348,0,25.0,1,0,530,7.925,134,2
730,731,1,1,14,0,29.0,0,0,118,211.3375,28,2
731,732,0,3,312,1,11.0,0,0,176,18.7875,134,0
733,734,0,2,83,1,23.0,0,0,187,13.0,134,2
734,735,0,2,655,1,23.0,0,0,100,13.0,134,2
735,736,0,3,699,1,28.5,0,0,386,16.1,134,2
736,737,0,3,234,0,48.0,1,3,538,34.375,134,2
737,738,1,1,409,1,35.0,0,0,480,512.3292,12,0
741,742,0,1,139,1,36.0,1,0,75,78.85,60,2
742,743,1,1,578,0,21.0,2,2,475,262.375,31,0
743,744,0,3,445,1,24.0,1,0,375,16.1,134,2
744,745,1,3,630,1,31.0,0,0,525,7.925,134,2
745,746,0,1,176,1,70.0,1,1,541,71.0,16,2
746,747,0,3,1,1,16.0,1,1,432,20.25,134,2
747,748,1,2,599,0,30.0,0,0,141,13.0,134,2
748,749,0,1,438,1,19.0,1,0,27,53.1,90,2
749,750,0,3,165,1,31.0,0,0,232,7.75,134,1
750,751,1,2,685,0,4.0,1,1,193,23.0,134,2
751,752,1,3,462,1,6.0,0,1,379,12.475,107,2
752,753,0,3,668,1,33.0,0,0,253,9.5,134,2
753,754,0,3,370,1,23.0,0,0,291,7.8958,134,2
754,755,1,2,321,0,48.0,1,2,88,65.0,134,2
755,756,1,2,290,1,0.67,1,1,142,14.5,134,2
756,757,0,3,129,1,28.0,0,0,330,7.7958,134,2
757,758,0,2,58,1,18.0,0,0,197,11.5,134,2
758,759,0,3,647,1,34.0,0,0,347,8.05,134,2
759,760,1,1,572,0,33.0,0,0,0,86.5,36,2
761,762,0,3,488,1,41.0,0,0,512,7.125,134,2
762,763,1,3,62,1,20.0,0,0,158,7.2292,134,0
763,764,1,1,137,0,36.0,1,2,26,120.0,42,2
764,765,0,3,218,1,16.0,0,0,268,7.775,134,2
765,766,1,1,332,0,51.0,1,0,60,77.9583,83,2
767,768,0,3,435,0,30.5,0,0,357,7.75,134,1
769,770,0,3,280,1,32.0,0,0,399,8.3625,134,2
770,771,0,3,412,1,24.0,0,0,254,9.5,134,2
771,772,0,3,357,1,48.0,0,0,333,7.8542,134,2
772,773,0,2,428,0,57.0,0,0,490,10.5,125,2
774,775,1,2,330,0,54.0,1,3,195,23.0,134,2
775,776,0,3,468,1,18.0,0,0,271,7.75,134,2
777,778,1,3,223,0,5.0,0,0,354,12.475,134,2
779,780,1,1,565,0,43.0,0,1,118,211.3375,18,2
780,781,1,3,50,0,13.0,0,0,169,7.2292,134,0
781,782,1,1,200,0,17.0,1,0,73,57.0,15,2
782,783,0,1,421,1,29.0,0,0,20,30.0,101,2
784,785,0,3,13,1,25.0,0,0,510,7.05,134,2
785,786,0,3,298,1,25.0,0,0,374,7.25,134,2
786,787,1,3,603,0,18.0,0,0,202,7.4958,134,2
787,788,0,3,556,1,8.0,4,1,377,29.125,134,1
788,789,1,3,195,1,1.0,1,2,429,20.575,134,2
789,790,0,1,281,1,46.0,0,0,467,79.2,39,0
791,792,0,2,252,1,16.0,0,0,116,26.0,134,2
794,795,0,3,189,1,25.0,0,0,290,7.8958,134,2
795,796,0,2,508,1,39.0,0,0,182,13.0,134,2
796,797,1,1,401,0,49.0,0,0,71,25.9292,85,2
797,798,1,3,506,0,31.0,0,0,311,8.6833,134,2
798,799,0,3,345,1,30.0,0,0,168,7.2292,134,0
799,800,0,3,666,0,30.0,1,1,249,24.15,134,2
800,801,0,2,542,1,34.0,0,0,140,13.0,134,2
801,802,1,2,163,0,31.0,1,1,437,26.25,134,2
802,803,1,1,133,1,11.0,1,2,26,120.0,42,2
803,804,1,3,648,1,0.42,0,1,149,8.5167,134,0
804,805,1,3,315,1,27.0,0,0,279,6.975,134,2
805,806,0,3,363,1,31.0,0,0,261,7.775,134,2
806,807,0,1,34,1,39.0,0,0,11,0.0,8,2
807,808,0,3,537,0,18.0,0,0,277,7.775,134,2
808,809,0,2,450,1,39.0,0,0,130,13.0,134,2
809,810,1,1,143,0,33.0,1,0,42,53.1,126,2
810,811,0,3,10,1,26.0,0,0,280,7.8875,134,2
811,812,0,3,408,1,39.0,0,0,405,24.15,134,2
812,813,0,2,612,1,35.0,0,0,181,10.5,134,2
813,814,0,3,23,0,6.0,4,2,274,31.275,134,2
814,815,0,3,650,1,30.5,0,0,349,8.05,134,2
816,817,0,3,318,0,23.0,0,0,534,7.925,134,2
817,818,0,2,434,1,31.0,1,1,489,37.0042,134,0
818,819,0,3,334,1,43.0,0,0,424,6.45,134,2
819,820,0,3,606,1,10.0,3,2,278,27.9,134,2
820,821,1,1,314,0,52.0,1,1,56,93.5,33,2
821,822,1,3,425,1,27.0,0,0,225,8.6625,134,2
822,823,0,1,551,1,38.0,0,0,80,0.0,134,2
823,824,1,3,463,0,27.0,0,1,379,12.475,107,2
824,825,0,3,516,1,2.0,4,1,208,39.6875,134,2
827,828,1,2,433,1,1.0,0,2,489,37.0042,134,0
829,830,1,1,627,0,62.0,0,0,25,80.0,17,3
830,831,1,3,703,0,15.0,1,0,157,14.4542,134,0
831,832,1,2,559,1,0.83,1,1,196,18.75,134,2
833,834,0,3,49,1,23.0,0,0,283,7.8542,134,2
834,835,0,3,19,1,18.0,0,0,89,8.3,134,2
835,836,1,1,164,0,39.0,1,1,481,83.1583,119,0
836,837,0,3,522,1,21.0,0,0,224,8.6625,134,2
838,839,1,3,148,1,32.0,0,0,66,56.4958,134,2
840,841,0,3,11,1,20.0,0,0,513,7.925,134,2
841,842,0,2,467,1,16.0,0,0,490,10.5,134,2
842,843,1,1,588,0,30.0,0,0,38,31.0,134,0
843,844,0,3,405,1,34.5,0,0,167,6.4375,134,0
844,845,0,3,178,1,17.0,0,0,220,8.6625,134,2
845,846,0,3,0,1,42.0,0,0,444,7.55,134,2
847,848,0,3,436,1,35.0,0,0,298,7.8958,134,0
848,849,0,2,302,1,28.0,0,1,131,33.0,134,2
850,851,0,3,22,1,4.0,4,2,274,31.275,134,2
851,852,0,3,637,1,74.0,0,0,258,7.775,134,2
852,853,0,3,96,0,9.0,1,1,165,15.2458,134,0
853,854,1,1,417,0,16.0,0,1,466,39.4,89,2
854,855,0,2,136,0,44.0,1,0,121,26.0,134,2
855,856,1,3,8,0,18.0,0,1,378,9.35,134,2
856,857,1,1,693,0,45.0,1,1,363,164.8667,134,2
857,858,1,1,184,1,51.0,0,0,18,26.55,108,2
858,859,1,3,56,0,24.0,0,3,160,19.2583,134,0
860,861,0,3,294,1,41.0,2,0,325,14.1083,134,2
861,862,0,2,256,1,21.0,1,0,180,11.5,134,2
862,863,1,1,639,0,48.0,0,0,72,25.9292,85,2
864,865,0,2,258,1,24.0,0,0,101,13.0,134,2
865,866,1,2,116,0,42.0,0,0,107,13.0,134,2
866,867,1,2,215,0,27.0,1,0,500,13.8583,134,0
867,868,0,1,567,1,31.0,0,0,465,50.4958,4,2
869,870,1,3,364,1,4.0,1,1,285,11.1333,134,2
870,871,0,3,59,1,26.0,0,0,315,7.8958,134,2
871,872,1,1,78,0,47.0,1,1,45,52.5542,92,2
872,873,0,1,130,1,33.0,0,0,390,5.0,30,2
873,874,0,3,671,1,47.0,0,0,245,9.0,134,2
874,875,1,2,4,0,28.0,1,0,453,24.0,134,0
875,876,1,3,470,0,15.0,0,0,161,7.225,134,0
876,877,0,3,282,1,20.0,0,0,392,9.8458,134,2
877,878,0,3,535,1,19.0,0,0,297,7.8958,134,2
879,880,1,1,544,0,56.0,0,1,50,83.1583,62,0
880,881,1,2,592,0,25.0,0,1,96,26.0,134,2
881,882,0,3,437,1,33.0,0,0,320,7.8958,134,2
882,883,0,3,181,0,22.0,0,0,396,10.5167,134,2
883,884,0,2,61,1,28.0,0,0,445,10.5,134,2
884,885,0,3,635,1,25.0,0,0,515,7.05,134,2
885,886,0,3,557,0,39.0,0,5,377,29.125,134,1
886,887,0,2,461,1,27.0,0,0,83,13.0,134,2
887,888,1,1,274,0,19.0,0,0,12,30.0,26,2
889,890,1,1,80,1,26.0,0,0,8,30.0,53,0
890,891,0,3,205,1,32.0,0,0,371,7.75,134,1
